LIPID	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
36:3-PEA	2888,915906	999,0480779	521,5030766	2248,98109	6721,644891	8219,75513	7338,868514	662,2307495	7649,404074	9226,855484
36:4-PEA	5283,29477	6396,595151	773,5726902	7282,083903	1164,697799	6106,157787	1510,645662	6599,878918	9054,246496	2407,102216
38:3-PEA	9527,650245	2289,694884	1910,319418	6418,086821	1711,419383	8113,902046	8972,984947	4861,101938	5820,931213	8642,26701
38:4-PEA	446,4916647	5424,20642	1770,367105	1561,816814	4384,870303	9439,361152	2888,097323	2821,031961	722,1864125	6562,447667
38:5-PEA	7437,998253	2861,9105	2921,227435	4549,491171	22,34698791	4217,97306	5350,473439	9582,517011	3631,019475	1372,392721
38:6-PEA	1081,55303	2288,477186	6482,936052	9210,874896	4607,016256	7018,32914	5064,248558	6006,101986	7219,965824	8649,649541
16:0-LPEA	8100,698264	5508,394298	4109,444536	4824,582075	8263,747508	4793,883152	9088,687203	6000,256202	3285,537607	1097,807729
18:0-LPEA	4860,270896	1226,85884	1529,325925	4797,745804	9064,844024	9024,63201	3633,679912	4335,711621	4151,712282	9300,249098
18:1-LPEA	9515,844267	2722,547859	4404,207773	6671,371065	390,0097415	419,9786453	104,6883932	2355,757631	7557,115224	7257,35219
18:2-LPEA	5061,81829	2986,003144	1169,296406	2115,425325	796,6714293	2003,131904	1792,444857	3912,929749	1311,745668	4133,515691
34:2-PlasmEA	7130,512711	1523,101093	743,708464	3440,889311	3820,129326	8018,895182	3415,858765	4060,042277	5037,945153	7969,28544
34:3-PlasmEA	6606,62266	4343,41036	9617,111475	3204,929621	2453,20244	5248,677628	6655,269002	3099,660023	4422,155065	7271,529321
36:2-PlasmEA	1275,997312	8600,778829	8796,186848	2881,020689	5290,128517	9343,843509	445,6523477	8026,782481	268,4185806	888,1033519
36:3-PlasmEA	6494,884832	5279,276876	8598,887005	3624,980601	3803,122216	6876,355147	1840,415969	7122,169738	8046,871116	5506,606417
36:5-PlasmEA	5954,12563	1662,863488	7150,915217	8181,43317	266,8687041	9470,332478	217,125403	1664,80595	3769,758559	3510,452591
36:6-PlasmEA	6729,68582	6288,445116	7078,608373	605,9011388	8761,932385	5309,445144	7976,966316	9841,329053	2950,604041	1154,559627
38:5-PlasmEA	625,009592	4620,571244	1180,984368	9808,353413	3340,86137	7046,432544	7639,015765	8880,95658	5548,33392	644,8141355
38:6-PlasmEA	4027,569794	4904,514115	1375,742307	5350,083015	5487,840304	5827,243075	2038,074473	5204,901156	151,3889626	1493,996095
38:7-PlasmEA	8089,720492	6326,764073	245,6486309	3677,622821	4430,163232	9339,389756	1793,452443	3504,257325	6674,739146	5092,500875
40:5-PlasmEA	1385,359973	5743,067077	9379,106996	9877,505069	565,3896126	452,5427081	3227,012621	9577,993179	1887,043277	6437,794171
40:6-PlasmEA	5344,260346	3919,496729	1075,539801	9912,358474	5539,062128	6620,455456	2705,317554	6830,019181	4614,620008	9922,048315
40:7-PlasmEA	4182,124759	9420,691232	2871,19569	5398,234519	6126,776493	5214,810598	3385,531927	9899,517745	7448,520834	385,3787415
36:1-PS	7351,487619	1165,077608	8216,464151	5797,465729	301,4596954	2335,824448	5125,215871	7895,789317	8045,218912	4047,753964
38:0-PS	8553,388152	1164,895738	3083,505536	2451,790514	9898,080321	7403,627646	4265,903811	2687,695326	2031,611922	9770,97634
38:1-PS	6728,51064	6360,49759	1854,776085	8051,189906	4078,401731	4145,348799	2283,559411	2519,97531	2147,374099	7747,083676
38:2-PS	4448,892877	2798,851044	1207,191136	5621,40158	7062,197379	5675,832449	1756,736497	4660,448001	7395,008918	1067,299309
38:3-PSa	8154,461646	473,5314311	1356,086811	2736,689831	3811,475743	418,9986146	2821,279129	6311,966401	2713,227705	1613,314583
38:3-PSb	4466,989117	9357,941999	783,6249669	7607,058165	4795,554163	4532,595911	7976,24313	3004,043297	8790,57009	8910,464613
40:1-PS	8241,379658	384,6619991	5493,099512	1909,588197	1296,755568	8792,839551	4741,433206	3152,355345	9490,322349	825,978943
40:2-PS	5930,68559	3648,52418	9338,372994	8456,48052	2912,398875	3284,342854	1752,186788	2594,320152	9269,459616	9443,846963
40:3-PS	1178,45599	6314,136968	6424,25066	3878,257613	3093,685096	5518,839355	7797,807334	7883,880721	2578,412246	9324,459647
40:5-PS	1989,194934	7205,37878	9987,298135	7467,045167	9440,40388	9029,579028	9798,852335	8659,20773	2569,113206	910,7686607
16:0-CE	7880,952361	7105,193031	3977,142201	6222,300105	68,15529353	1525,116148	5802,895035	6765,01094	4574,509156	3981,737941
16:1-CE	2962,737709	7465,646378	8841,361389	2440,826808	4035,126533	5491,420318	4120,730208	608,4795703	6098,869197	9197,842826
18:0-CE	8293,556773	8711,74341	7474,932411	5563,215596	2670,916025	8482,127423	774,2819729	5479,944008	3054,359918	7902,235114
18:1-CE	4998,02692	2551,991066	6599,338327	5475,242664	7421,58271	4051,175409	1138,544139	7215,562382	9715,516499	9061,015362
18:2-CE	4345,36185	1060,145221	125,7369417	820,4244492	7954,115603	4790,106655	8636,036351	6352,653873	9414,922315	4576,84695
18:3-CE	6292,960019	7312,017572	8609,439649	6893,002716	9079,034382	901,7475602	1539,403793	5722,457347	7676,542074	7233,332347
20:0-CE	8249,439247	11,30540213	553,9292011	7926,829042	4035,15764	536,7451125	8341,641689	6143,225903	1388,620198	6702,180413
20:1-CE	3503,559695	9135,010444	2449,030942	4043,025468	544,2203957	7999,883826	4354,073253	7871,27127	4652,767164	8430,928748
20:2-CE	5792,748986	9472,315499	505,671082	5026,354162	7459,887006	1679,077105	2869,042162	6810,561539	1649,165246	9691,211894
20:3-CE	7813,325478	5995,360659	6057,412657	5497,014434	1529,86229	5157,276723	4732,779165	4096,636398	6804,243567	5379,168169
20:4-CE	8511,407696	8727,242359	585,7902156	7074,604976	85,75961566	9668,927548	6096,255593	9373,272871	9407,775077	4086,042242
20:5-CE	2002,121538	9701,92627	9087,723176	7084,803348	5747,032655	4811,442249	8571,299225	9655,113431	2929,921883	8673,798786
20:6-CE	9403,624915	1157,966961	7121,887953	2210,769534	2321,198349	1837,82421	9099,148762	1128,9603	3792,12367	1324,891071
22:1-CE	6662,424922	4338,975736	4564,972204	6060,953351	5499,550743	882,0741497	3522,976729	1236,821736	5988,239089	3664,160041
22:2-CE	7839,54457	2140,121824	3053,040908	991,2097032	3692,123838	4823,75563	4771,958747	2330,523693	2947,905472	909,3669467
22:3-CE	9278,810334	238,8847185	6931,615276	8883,140469	4482,662792	2504,004053	2637,61358	4667,835513	7127,602846	2333,673316
22:4-CE	3253,075207	4806,183454	688,7356747	9572,550034	5337,799939	5436,609312	4797,56717	4232,73868	8610,657361	8024,560466
22:5-CE	8404,4631	1294,577887	8726,144618	5295,201	6689,801676	3450,422534	9570,296054	9871,998759	7697,608892	2217,74316
22:6-CE	6846,507777	3533,249542	6129,466602	7674,546777	9369,525224	3160,245232	5554,978826	8076,325344	818,787513	2883,179864
24:3-CE	477,0442659	2230,690629	9154,623461	6182,466507	1608,624973	1834,115579	9274,140571	1867,303451	3195,207484	7756,553381
24:4-CE	5194,966721	3271,782277	2057,695993	1613,499383	7068,117747	7711,946735	5607,908217	4386,02338	638,8137638	9832,418181
24:5-CE	9222,484841	5721,82555	8413,622157	8873,689975	3646,046411	9402,907647	8666,230924	7075,008117	8934,329485	6871,427828
C48:0 TAG	9633,422086	1716,199734	7383,522114	1467,457282	8496,347421	4955,192202	8815,2227	160,478138	6068,433377	1733,821662
C48:1 TAG	4820,849145	8574,295192	634,4428592	3227,50227	8540,996062	4397,761234	8177,134082	7872,754386	9836,093879	621,8490518
C48:2 TAG	5577,147055	7006,526748	4207,592629	6861,267797	8102,62194	9774,440287	652,6162869	7432,204324	7167,955563	9944,964143
C48:3 TAG	7916,235764	9687,892754	8285,640679	5015,633682	2053,381728	185,2697917	4332,216879	5023,564446	1572,932319	971,1495214
C48:4 TAG	8472,253331	74,13268639	461,3718923	2582,716759	9940,257794	8153,23013	9268,716075	5611,076226	1998,343447	2767,727878
C48:5 TAG	4743,677686	8141,223808	5094,613822	5930,686774	9575,955511	1879,928748	5327,584734	2189,611541	4055,977774	4544,800861
C48:6 TAG	8830,897902	1913,15668	7533,742727	3432,127992	1604,524868	110,6884818	8088,936574	7742,604847	356,7892052	3975,236968
C50:0 TAG	3924,26355	2565,545708	6683,612163	3737,925727	3757,092627	9402,766268	4788,567228	6164,396946	9957,486616	1406,340653
C50:1 TAG	3906,809864	336,3662754	1655,272485	3553,043908	4583,330962	8381,74362	7677,667475	1936,164795	6211,314059	7834,334404
C50:2 TAG	6131,569872	4033,680452	3142,928657	7041,020128	6089,325518	370,8390233	5368,574665	7780,930308	5472,061323	2853,00679
C50:3 TAG	7262,842564	7763,489945	3488,391557	6363,230689	3531,242873	5203,788151	5013,941982	2210,0522	5405,890535	4011,615316
C50:4 TAG	4749,776405	329,4081458	3514,04002	6766,987921	3739,370816	678,7447641	2964,817442	9308,640306	8945,069731	2152,809407
C50:5 TAG	7035,266304	266,69615	3760,740309	786,6373514	1594,370343	992,3527957	827,6063077	6517,801405	7860,456972	7837,898838
C50:6 TAG	2906,917102	6413,624803	2381,679507	5144,042789	7303,938534	6911,54537	8420,675571	9990,064517	2727,723148	4306,984926
C52:0 TAG	1236,887894	2309,381293	8697,495149	929,8007841	7388,33785	2981,776117	4885,666352	85,35242832	7795,895315	6359,742894
C52:1 TAG	4005,806944	9461,835288	3486,107487	4631,095818	5563,314547	2694,294899	2133,224744	3524,463135	9069,93894	2123,035956
C52:2 TAG	2683,229051	8431,453128	2992,160678	8105,888099	4416,881059	9159,991444	5833,02074	9706,627958	2586,571153	3340,720047
C52:3 TAG	1148,216713	3469,115407	7317,488753	7952,989077	7220,879946	828,006449	3756,143338	3999,150041	7728,486539	1116,623695
C52:4 TAG	9622,504458	5157,347198	9175,384613	6698,353665	9820,681105	2505,576599	4067,835478	1654,948654	3868,927054	6307,238482
C52:5 TAG	1219,547946	6845,150727	4916,735422	6371,059345	9149,958515	7687,468729	3644,906159	8343,492288	6112,684814	2452,186197
C52:6 TAG	2649,060296	6354,816208	6045,198978	5797,137198	931,4006698	8081,67868	3707,994006	8642,599968	6143,291493	5641,139023
C54:0TAG	8924,227904	9426,770027	8089,873204	9581,24146	9782,764116	1168,279182	9189,149094	2437,148306	3258,032017	8969,467729
C54:1 TAG	4499,676222	3694,933601	1883,330747	5539,998816	4135,174049	7535,02272	7039,439628	8082,884368	4203,406778	849,3728196
C54:2 TAG	5079,437635	4803,437212	7859,17363	2117,193115	7263,776864	9816,798307	8871,117421	7440,111015	1352,281835	922,2924513
C54:3 TAG	6199,831526	2050,247012	5200,115712	3102,572858	5161,433193	2291,006399	4788,065044	8983,195555	905,5142839	7559,786823
C54:4TAG	9740,30281	7354,298366	3424,660159	9994,905019	656,2860782	4696,940794	4934,184432	3033,322078	5662,780045	1271,79471
C54:5TAG	9270,801329	7113,866179	6804,713766	38,44662884	1,118728041	5358,862273	9679,19032	434,4605097	7853,521682	2274,935171
C54:6TAG	7837,884437	9136,736739	5199,373368	2235,651832	6921,633481	3457,814604	8140,791621	3010,850047	3349,739958	4576,653566
C54:7 TAG	1398,030052	9534,531458	8954,980782	8772,140091	3135,062076	5932,518626	783,5622325	238,1090542	609,7309588	5223,285864
32:0-DAG	9105,517996	9421,705164	9101,151999	6390,8101	5831,970758	9171,150148	2947,347247	8511,533525	3356,536863	5895,143398
32:1-DAG	4298,829584	8362,607822	2616,486459	6640,974988	5322,745222	5958,970117	497,9805742	4363,11328	6162,506708	6261,660611
32:2-DAG	593,9261981	2084,736165	9769,257133	3743,781813	2944,502972	5362,889633	7696,050609	8318,912538	9501,892984	5805,975236
32:3-DAG	7479,825995	4528,377349	8958,235833	7643,446166	8878,02522	2818,774571	9594,158653	9009,721891	3374,982385	9110,608985
34:0-DAG	2628,792125	1747,974947	3526,212626	3466,248464	5255,520316	3817,704334	3435,10567	8835,553421	1636,407506	2522,314254
34:1-DAG	7941,859881	7393,191576	6914,897959	8988,306394	2581,329125	6782,096787	943,1785184	5073,995137	1468,646492	5742,372786
34:2-DAG	4568,761772	5556,631514	2851,278059	2292,13072	1140,237532	9784,159459	6704,309772	8419,605612	6538,301932	6969,368582
34:3-DAG	6513,932632	3640,06976	2247,547502	6632,439041	9532,559637	732,2861846	31,11315602	4019,585299	7611,402266	5197,014879
34:4-DAG	6543,258437	9600,079559	6810,069764	2939,066927	1218,294316	2899,084332	3699,152757	3606,498062	9697,686256	3731,427484
36:0-DAG	9354,691799	1225,561603	3518,31203	95,53897896	6326,04402	446,6705367	2130,986607	6545,653092	1670,901882	6087,260995
36:1-DAG	2290,557926	8531,399246	7442,018695	6330,266968	7301,006271	2775,60347	659,051897	1106,00414	6318,444668	9057,395951
36:2-DAG	2031,42256	350,2026097	4253,966101	5161,951701	8107,539169	5703,128489	1325,407188	8265,342617	396,3277811	232,4326344
36:3-DAG	8492,095423	3016,944009	2370,170085	8361,963439	9317,098378	1288,26916	3522,984211	6685,597163	8593,227485	6331,258688
36:4-DAG	5395,795869	6285,371994	3323,912375	4264,129958	7561,171369	3028,109798	1030,300923	4506,672342	9325,36635	3077,796002
36:5-DAG	1943,457396	2781,652575	858,789689	3815,639416	9952,930102	9227,635256	1189,360287	6553,475165	5714,981535	4614,341901
38:0-DAG	5602,186533	3762,746584	723,7547285	578,0498675	3426,664584	1072,813235	3442,472107	6473,988906	3216,60124	1143,159816
38:1-DAG	8977,140945	2886,148347	7089,414634	1155,50892	6960,441181	5989,025458	6420,973528	658,2869103	7424,357039	490,1856129
38:2-DAG	4968,240348	4690,928828	344,794085	2900,675113	2209,579917	5789,519341	3137,452437	5504,999848	7009,308377	3527,373854
38:3-DAG	6527,700084	1926,349453	152,4419811	768,5752316	6481,603806	9879,786033	2699,162265	2622,39425	3778,734119	4708,207046
38:4-DAG	8784,388993	8192,732957	8291,066802	7387,629199	2646,876244	3619,549458	1608,992549	1386,517323	7652,519327	1328,813198
C14Cer	8267,775425	8186,688274	8419,656447	9619,151948	4743,887282	7087,854359	2230,344176	4075,953618	1316,840442	8384,267186
C16Cer	9035,888815	7444,049131	7103,186182	5330,7324	6840,730154	8874,303215	726,631041	1412,654651	757,9668251	2029,02643
C16:1Cer	3420,260585	6584,153079	5626,273612	6908,770835	5326,459324	8142,552306	9826,947065	7716,152418	806,0359058	7111,07386
C18Cer	4492,355229	4143,446326	750,1723736	5292,27401	1833,480053	6409,051721	3422,679104	713,3936646	8354,51333	2230,898954
C18:1Cer	6473,460448	7046,886762	1345,137788	8289,846435	8073,399892	676,1839264	1810,587363	9949,463566	4860,597838	7808,279487
C20Cer	1979,46121	6860,635554	4617,480026	8069,206337	5058,958733	7063,610578	1810,888606	5888,709182	4185,072104	7754,405595
C20:1Cer	2177,496452	6058,214757	6418,966245	4634,484135	8035,462573	1555,372925	7984,379574	6179,010143	7235,016727	1777,879007
C22Cer	5872,803247	712,3509064	9969,172991	6842,724454	274,9525463	7458,230358	2545,280895	4480,723191	8711,754536	3662,538869
C22:1Cer(a)	6116,980482	52,50089568	919,603514	2491,451157	7621,937791	134,510879	6426,710286	2155,740327	4059,963518	2099,040898
C24Cer	1279,751978	9586,275987	3053,437318	6750,835198	4731,159353	1204,303463	182,7507335	338,3022687	3508,022764	282,7555851
C24:1Cer(a)	7043,841854	9376,427255	371,4855826	1279,560945	4500,050336	3399,440906	3055,119708	1296,892126	867,6489284	6685,163219
C24:2Cer	6021,609435	7540,602341	2511,245079	268,9949821	3326,217535	1413,303777	5457,990679	2428,076474	565,5096945	374,3593506
C16dhCer	5776,586544	6352,042272	2449,094777	7547,661453	1892,091771	4903,80812	2039,17367	5553,699817	409,8457077	4427,138317
C18dhCer	6842,687895	1534,29204	5652,419649	3209,926177	9480,154722	5151,09906	6086,6679	5219,915726	125,5900799	3469,708947
C20dhCer	6058,268008	3002,993393	7102,188878	2412,623911	1962,583296	8633,166534	2669,171831	9574,518629	2882,958418	2112,54219
C22dhCer	2423,852222	7322,111914	1298,722243	950,4133501	8945,658758	3715,904102	9448,942676	6845,916786	2218,561437	7147,57106
C24dhCer	6280,235257	4684,292803	481,8051397	4025,897565	3194,665366	7652,818263	5657,512024	7880,871406	1714,864078	4906,329619
C24:1dhCer	7667,542228	8084,422032	2856,017112	3779,590831	6801,594566	5865,334488	1682,785065	9105,756213	7592,418278	9791,458353
C14SM	5927,063532	9532,407209	1839,587096	6230,239514	4520,158127	638,3553916	8353,722421	7155,531042	2096,900934	888,0594282
C14:1SM	3289,345064	1655,629737	3991,874695	3009,841533	7209,934391	93,86185354	9937,164661	5893,652743	1875,899889	2124,877296
C16SM	7265,715854	7134,719608	2995,723412	3288,049704	3003,100769	9745,072466	1419,795732	4192,865727	9320,681045	5562,154396
C16:1SM	4358,644795	7529,270785	679,2339983	8262,174977	6270,395774	84,51927095	2038,834875	6981,699153	2566,755556	9648,79166
C18SM	7409,501644	4969,524	7336,423977	7440,29944	9861,222966	2996,439919	1828,312985	1629,948206	794,1246403	9832,629049
C18:1SM	8170,819892	1737,767871	9277,833545	9688,842353	8083,557472	8034,210232	4496,6309	9413,083129	7445,902329	1579,570365
C20SM	1463,492646	4720,12332	991,5740937	4954,110027	4600,911897	1382,67985	4228,046766	8926,728571	1745,348043	8234,002437
C20:1SM	9076,057731	6612,694083	8730,005033	56,3067495	6881,746809	4535,432003	6495,775494	1689,716946	2755,963989	168,9042841
C22SM	6963,751421	169,0656578	6118,864061	9093,836753	4961,244082	8053,940535	8229,398763	530,4510611	4721,891322	152,8935025
C22:1aSM	1441,692501	8073,404703	9055,229004	2754,410293	3845,916966	943,6534143	5157,270646	5396,408489	7621,583248	3021,996921
C24SM	7716,004357	2769,781606	3272,665166	7813,551012	6681,736601	5759,740424	6512,918388	8498,300473	7160,191672	4679,591334
C24:1SM	2647,155988	6232,73052	3651,19278	1264,03148	1168,804994	5161,771011	8551,920587	8750,651057	6000,055241	3434,314093
C24:2SM	5841,466053	4856,90799	8977,724536	6755,687994	2670,342524	8180,235981	2359,039126	948,0265748	4098,856837	5241,793819
C24:3SM	2235,239602	7945,043862	9328,248726	1577,98275	6840,613797	3067,069709	5409,488916	7188,636334	2981,389154	7037,371111
C14dhSM	9839,882935	8396,226243	7378,101859	2676,923715	6633,946375	2628,39686	6160,265387	3303,104541	3622,132076	2723,961778
C16dhSM	8433,709265	2282,463165	9318,558043	9843,263101	7474,830258	4688,916001	1734,733695	8013,14685	6309,786104	7536,342652
C18dhSM	3952,011154	9526,616757	3315,700604	2448,371685	9178,788059	5138,43691	1047,138711	3837,369382	9919,387873	7175,877896
C20dhSM	8573,076135	1361,906165	6209,562486	8747,991719	6826,541072	8598,693834	6696,30186	1000,529911	8922,529281	1396,560549
C22dhSM	9454,69349	8026,261211	9446,051709	2190,364681	5312,364539	4680,843375	5957,678998	9408,846007	8779,952865	4720,572088
C24dhSM	3903,339737	3714,660608	5621,540115	140,332354	6314,291804	4937,440379	7723,880362	3496,602651	2517,54963	7500,219027
C14GCer	2732,961293	8103,142075	9505,252763	6065,949017	2854,885863	6656,31383	7317,485837	4521,922028	410,6235026	378,3008075
C16GCer	5877,819803	7268,882971	3552,2185	350,4556946	6580,13408	604,6720979	6180,572886	4460,018864	4182,864603	8279,102215
